,Cuisine,Original Name
0,filipino,tortang talong
1,filipino,sushi bake
2,seafood,seafood dish
3,brazilian,bauru
4,brazilian,beijinho
5,brazilian,brigadeiro
6,brazilian,coxinha
7,brazilian,dulce de leche
8,mexican,lime soup
9,nepalese,thali
10,indonesian,keumamah
11,indonesian,matang satay
12,indonesian,meuseukat
13,canadian,fish and chips
14,canadian,fritter
15,italian,zuccoto
16,american,garlic bread
17,american,fettuccine alfredo
18,american,chicken and broccoli
19,american,buñuelo
20,south indian,pudina khara pongal
21,vegetarian,pudina khara pongal
22,japanese,tanukijiru
23,armenian,q27998933
24,armenian,lavash
25,asian,baklava
26,asian,fried rice
27,german,cabbage roll
28,german,mock turtle soup
29,german,salzgurke
30,kashmiri,kashmiri pulao
31,kashmiri,wazwan
32,tex-mex,chili
33,european,quince cheese
34,irish,crumble
35,irish,fish and chips
36,african,fish and chips
37,african,hertzoggie
38,african,afang
39,singaporean,thali
40,singaporean,gulai
41,singaporean,nasi goreng
42,peruvian,anticucho
43,peruvian,picarones
44,thai,thali
45,thai,rice noodle roll
46,burmese,mohinga
47,burmese,thali
48,chinese,disanxian
49,chinese,q15942827
50,turkish,yayla çorbası
51,turkish,cabbage roll
52,spanish,mint soup
53,latin american,buñuelo
54,latin american,frijoles negros
55,british,shepherd's pie
56,parsi,dhansak
57,malay,thali
58,malay,eid food
59,malay,ikan bakar
60,malay,ketupat
61,malay,nasi goreng
62,indian,falooda
63,south african,malva pudding
64,south african,hertzoggie
65,south african,fish and chips
66,taiwanese,ló͘-bah-pn̄g
67,taiwanese,apple bread
68,greek,bouyiourdi
69,greek,kakavia
70,rajasthani,dal dhokli
71,iranian,cabbage roll
72,portuguese,alheira
73,portuguese,tocino de cielo
74,portuguese,pastéis de bacalhau
75,portuguese,francesinha
76,pakistani,thali
77,pakistani,paratha roll
78,scottish,scotch broth
79,scottish,cock-a-leekie soup
80,scottish,haggis
81,vietnamese,bánh bột lọc
82,vietnamese,bánh giày
83,french,crêpe suzette
84,french,profiterole
85,cantonese,har gow
86,cantonese,rice noodle roll
87,cajun,gumbo
88,caribbean,thali
89,arabian,q101643769
90,arabian,q12224442
91,malaysian,thali
92,malaysian,nasi goreng
93,malaysian,ikan bakar
94,korean,bosintang
95,argentine,bara brith
96,argentine,dulce de batata
97,argentine,cabbage roll
98,argentine,anticucho
99,moroccan,cabbage roll
100,moroccan,taktouka
101,australian,fish and chips
102,naga,galho
103,afghani,dal bhat
104,afghani,korma
105,afghani,afghani burger
106,filipino,dinengdeng
107,filipino,pinakbet
108,filipino,mango sticky rice
109,filipino,philippine adobo
110,filipino,philippine asado
111,filipino,piaya (food)
112,seafood,sturehof
113,north indian,reshmi kabab
114,southwestern,breakfast burrito
115,mexican,concha (bread)
116,mexican,al pastor
117,mexican,breakfast burrito
118,mexican,bizcochito
119,mexican,cochinito de piloncillo
120,mexican,carne seca
121,mexican,masa
122,mexican,tacos de canasta
123,nepalese,masaura
124,indonesian,macapuno
125,indonesian,shrimp curry
126,sandwich,john's roast pork
127,southern,nasi ulam
128,southern,stuffed ham
129,southern,gulai
130,southern,spoonbread
131,canadian,ham salad
132,italian,bistecca alla fiorentina
133,italian,capocollo
134,italian,bagna càuda
135,italian,acquacotta
136,italian,bisciola
137,italian,clams oreganata
138,italian,casatiello
139,italian,pizza di pasqua
140,italian,rosticciana
141,italian,mozzarella sticks
142,italian,torta bertolina
143,american,peanut butter blossom cookie
144,american,ham salad
145,american,goetta
146,american,honey walnut shrimp
147,american,soul food health trends
148,american,clams oreganata
149,american,texas caviar
150,american,vorschmack
151,american,mozzarella sticks
152,japanese,
153,japanese,amazake
154,japanese,pollock roe
155,japanese,champon
156,japanese,okowa
157,japanese,onigiri
158,armenian,khorovats
159,armenian,tjvjik (food)
160,german,onion cake
161,german,knieperkohl
162,german,streuselkuchen
163,german,vorschmack
164,kashmiri,noon chai
165,irish,macroom oatmeal
166,african,mama cass (restaurant)
167,western,breakfast burrito
168,assamese,pitha
169,assamese,panta bhat
170,hyderabadi,hyderabad house (restaurant)
171,singaporean,nasi ulam
172,singaporean,soto (food)
173,singaporean,roti canai
174,tea,john's roast pork
175,peruvian,leche asada
176,peruvian,locro
177,peruvian,ají de gallina
178,thai,curry puff
179,thai,dadar gulung
180,thai,nasi ulam
181,thai,pumpkin-coconut custard
182,thai,tom yum
183,thai,chim chum
184,thai,khai yat sai
185,thai,khanom chan
186,thai,khanom khrok
187,thai,khao khluk kapi
188,thai,khao soi
189,thai,khao tom
190,thai,kung chae nampla
191,thai,mi krop
192,thai,miang kham
193,thai,cellophane noodles
194,thai,cendol
195,thai,kaeng khae
196,thai,kaeng som
197,thai,kap klaem
198,thai,koi (dish)
199,thai,green papaya salad
200,thai,yam khai dao
201,thai,tom som
202,thai,coconut jam
203,thai,coconut rice
204,thai,bánh xèo
205,thai,gulai
206,thai,rat na
207,thai,kleeb lamduan
208,thai,shrimp curry
209,thai,tom kha kai
210,thai,mango sticky rice
211,thai,nam ngiao
212,thai,thai fried rice
213,thai,mu kratha
214,thai,roti canai
215,thai,popiah
216,thai,pad see ew
217,thai,pad thai
218,thai,phat khing
219,thai,sago with coconut milk
220,thai,sai ua
221,thai,sticky rice in bamboo
222,thai,steamed curry
223,thai,
224,burmese,bein mont
225,burmese,mont (food)
226,burmese,mont baung
227,burmese,mont di
228,burmese,mont kywe the
229,burmese,mont lin maya
230,burmese,mont lone yay baw
231,burmese,mont phet htok
232,burmese,pathein halawa
233,burmese,kya zan hinga
234,burmese,kyay oh
235,burmese,pe htaw bhut htamin
236,burmese,ounhmangu
237,burmese,ohn no khao swè
238,burmese,lahpet
239,burmese,khanon htok
240,burmese,khanon i
241,burmese,khauk mont
242,burmese,burmese tofu
243,burmese,green papaya salad
244,burmese,masakat
245,burmese,thagu byin
246,burmese,burmese curry
247,burmese,burmese fried rice
248,burmese,burmese fritters
249,burmese,burmese milk tea
250,burmese,burmese salads
251,burmese,hsi htamin
252,burmese,htanthi mont
253,burmese,htanthi mont
254,burmese,htoe mont
255,burmese,cassia flower bud salad
256,burmese,ngachin
257,burmese,ngapi
258,burmese,shrimp curry
259,burmese,shwe htamin
260,burmese,shwe yin aye
261,burmese,sigyet khauk swè
262,burmese,mohnyin tjin
263,burmese,pon ye gyi
264,burmese,no htamin
265,burmese,sago with coconut milk
266,burmese,sanwin makin
267,burmese,sticky rice in bamboo
268,chinese,double skin milk
269,chinese,ulmyeon
270,chinese,dark soy sauce
271,chinese,tangsuyuk
272,chinese,jianbing
273,chinese,jjamppong
274,chinese,jungguk-naengmyeon
275,chinese,eight treasure duck
276,chinese,honey walnut shrimp
277,chinese,hong dou tang
278,chinese,champon
279,chinese,sichuan pepper chicken
280,chinese,
281,turkish,şehriye
282,turkish,türlü
283,turkish,cimcik erişte
284,turkish,uzun erişte
285,turkish,etli makarna
286,spanish,conejo en salmorejo
287,cuban,boliche
288,bengali,pitha
289,bengali,jhalmuri
290,bengali,kati roll
291,bengali,panta bhat
292,british,ham salad
293,malay,rousong
294,malay,pasembur
295,malay,curry mee
296,malay,curry puff
297,malay,dadar gulung
298,malay,pie tee
299,malay,nasi ambeng
300,malay,nasi goreng pattaya
301,malay,nasi paprik
302,malay,nasi ulam
303,malay,otak-otak
304,malay,tempoyak
305,malay,batik cake
306,malay,boeber
307,malay,chilli crab
308,malay,clorot
309,malay,kue kochi
310,malay,kuih
311,malay,soto ayam
312,malay,mee siam
313,malay,bak kut teh
314,malay,cellophane noodles
315,malay,
316,malay,wajik
317,malay,ipoh white coffee
318,malay,paratha
319,malay,ais kacang
320,malay,bandung (drink)
321,malay,cendol
322,malay,cincalok
323,malay,kaeng som
324,malay,lemang
325,malay,babi panggang
326,malay,tauco
327,malay,jemput-jemput
328,malay,pandan cake
329,malay,bihun goreng
330,malay,coconut jam
331,malay,coconut rice
332,malay,hokkien mee
333,malay,yusheng
334,malay,rojak
335,malay,asam pedas
336,malay,ayam bakar
337,malay,ayam goreng
338,malay,burasa
339,malay,gulai
340,malay,klepon
341,malay,lontong
342,malay,soto (food)
343,indian,rumali roti
344,indian,chicken karahi
345,indian,khira sagara
346,indian,maghaz
347,indian,bun kebab
348,indian,aloo gosht
349,indian,kati roll
350,indian,kadhi
351,indian,avial
352,indian,pongal (dish)
353,indian,chapli kebab
354,indian,paneer makhani
355,indian,nihari
356,indian,noon chai
357,indian,reshmi kabab
358,indian,sabudana papar
359,indian,sai bhaji
360,indian,shikanjvi
361,indian,petha
362,sri lankan,idiyappam
363,sri lankan,lavariya
364,sri lankan,kiribath
365,sri lankan,mallung
366,taiwanese,dark soy sauce
367,taiwanese,hong dou tang
368,greek,türlü
369,greek,flomaria
370,greek,gogges
371,iranian,abgoosht
372,iranian,kuku (food)
373,portuguese,portuguese sweet bread
374,portuguese,açorda
375,portuguese,cozido à portuguesa
376,portuguese,shrimp curry
377,portuguese,serradura
378,pakistani,chicken karahi
379,pakistani,aloo gosht
380,pakistani,afghani burger
381,pakistani,chapli kebab
382,pakistani,nihari
383,pakistani,noon chai
384,pakistani,sai bhaji
385,vietnamese,caramelized pork and eggs
386,vietnamese,green papaya salad
387,vietnamese,kho (cooking technique)
388,vietnamese,bánh xèo
389,vietnamese,mango sticky rice
390,vietnamese,mực rang muối
391,vietnamese,sườn nướng
392,vietnamese,shaking beef
393,vietnamese,sticky rice in bamboo
394,vietnamese,
395,french,conversation tart
396,french,éclair
397,french,polonaise (sauce)
398,french,fougasse (bread)
399,french,sauce gribiche
400,french,pieds paquets
401,french,pain d'épices
402,bihari,jhalmuri
403,kerala,idiyappam
404,caribbean,pelau
405,caribbean,thukpa
406,caribbean,noon chai
407,caribbean,tapado
408,korean,pyeonsu
409,korean,pyeonyuk
410,korean,samgyeopsal
411,korean,san-nakji
412,korean,sanjeok
413,korean,patjuk
414,korean,beondegi
415,korean,bindae-tteok
416,korean,bokkeum
417,korean,bokkeum-bap
418,korean,bossam
419,korean,hobak-juk
420,korean,hobak-tteok
421,korean,hoe (food)
422,korean,hwachae
423,korean,hwajeon
424,korean,jokpyeon
425,korean,jorim
426,korean,persimmon vinegar
427,korean,ugeoji
428,korean,meju
429,korean,memil-muk
430,korean,sagol
431,korean,chueo-tang
432,korean,eo-mandu
433,korean,gaepi-tteok
434,korean,galbi
435,korean,gamja-ongsimi
436,korean,ganghoe
437,korean,garae-tteok
438,korean,garak-guksu
439,korean,gim (food)
440,korean,golbaengi-muchim
441,korean,gomul
442,korean,gopchang
443,korean,morioka reimen
444,korean,mujigae-tteok
445,korean,naengmyeon
446,korean,corn cheese
447,korean,maejap-gwa
448,korean,makchang
449,korean,mandu-gwa
450,korean,mandu (food)
451,korean,chimaek
452,korean,siraegi
453,korean,soboro-ppang
454,korean,subak-hwachae
455,korean,sudan (beverage)
456,korean,sukhoe
457,steak,john's roast pork
458,moroccan,qrashel
459,moroccan,tfaya
460,middle eastern,dried lime
461,australian,halal snack pack
462,australian,ham salad
