ReviewId,mentions
9,cornstarch
23,lime
25,mushrooms
25,sausage
25,chicken
25,leeks
59,chicken
66,curry
76,raisins
83,tuna
83,butter
101,sugar
129,orange
129,pineapple
141,nutmeg
141,cinnamon
148,onions
150,vodka
171,pecans
171,coffee
185,cucumber
190,garlic
201,beef
209,potato
209,garlic
209,onion
209,cloves
235,cinnamon
240,milk
240,cheese
240,gruyere
249,cheese
251,chocolate
252,pineapple
252,oranges
259,sugar
278,pepper
280,onion
300,lemon
302,chicken
314,cheese
314,cloves
314,ham
314,onion
314,garlic
314,pepper
314,milk
318,rice
318,pepper
331,eggplant
335,pork
336,lemon
349,mushroom
349,chicken
353,lemon
367,garlic
367,clams
377,shrimp
377,tomatoes
377,pepper
384,sugar
384,cinnamon
384,applesauce
388,cheese
389,celery
389,cilantro
404,bacon
405,celery
411,mushrooms
443,dill
443,water
470,eggs
478,beef
483,lemon
483,chicken
487,chicken
500,beef
500,fat
505,pepper
517,carrots
522,broth
522,pork
525,wine
533,mayonnaise
547,potatoes
550,garlic
550,cloves
552,beef
557,cardamom
557,cilantro
561,garlic
561,cloves
561,cayenne
561,pepper
567,beef
595,salt
604,chicken
629,bananas
629,zucchini
641,sugar
647,lemon
647,chicken
648,carrot
648,peas
664,pineapple
670,sugar
683,corn
683,ketchup
688,fiber
715,tuna
733,eggplant
738,cheese
739,banana
742,apple
742,wine
749,broth
749,salsa
749,chicken
753,tuna
774,lemon
774,garlic
774,pepper
776,potato
783,wine
792,beef
810,lemon
810,lime
810,strawberries
823,pineapple
823,pecans
823,walnuts
835,rotel
857,paprika
857,mushroom
857,beef
857,chicken
859,flour
862,eggs
863,protein
889,strawberries
892,potatoes
892,eggs
894,calories
914,pasta
914,tomatoes
915,lemon
916,sugar
916,chilies
925,wine
935,onion
935,eggs
957,broth
957,rice
957,chicken
959,mushrooms
959,wine
1001,banana
1020,chicken
1050,bananas
1054,chocolate
1079,onions
1079,garlic
1079,rice
1079,peanuts
1080,milk
1083,turkey
1083,bourbon
1084,bananas
1101,fennel
1118,garlic
1118,oregano
1119,fat
1120,rice
1125,bananas
1131,garlic
1133,apples
1133,pork
