"ReviewId","RecipeId","AuthorId","AuthorName","Review","DateSubmitted","DateModified","sentiment","confidence"
"2.0","992.0","2008.0","gayg msft","better than any you can get at a restaurant!","2000-01-25 21:44:00+00:00","2000-01-25 21:44:00+00:00","positive","0.9"
"9.0","4523.0","2046.0","Gay Gilmore ckpt","i think i did something wrong because i could taste the cornstarch in the finished product.","2000-02-25 09:00:00+00:00","2000-02-25 09:00:00+00:00","negative","0.85"
"14.0","44.0","2085.0","Tony Small","An excellent dish.","2000-03-28 12:51:00+00:00","2000-03-28 12:51:00+00:00","positive","0.9"
"21.0","148.0","2156.0","Darlene Blythe","Would someone please check the Nutrition Facts of this recipe.","2000-06-02 10:01:00+00:00","2000-06-02 10:01:00+00:00","error","0.0"
"22.0","517.0","2046.0","Gay Gilmore ckpt","thought this was terrific!","2000-02-25 09:02:00+00:00","2000-02-25 09:02:00+00:00","positive","0.9"
"23.0","4684.0","2046.0","Gay Gilmore ckpt","this is absolutely delicious.  i even served it with lime slices so you could squeeze on more of the acid.","2000-02-25 09:06:00+00:00","2000-02-25 09:06:00+00:00","positive","0.9"
"25.0","3431.0","2046.0","Gay Gilmore ckpt","leeks on a pizza?!  it was really delicious.  i used a boboli and added some chicken sausage slices and mushrooms too.","2000-04-07 11:06:00+00:00","2000-04-07 11:06:00+00:00","positive","0.9"
"28.0","1451.0","2416.0","jessontanya","Where does the bbq come in ","2000-08-01 19:17:30+00:00","2000-08-01 19:17:30+00:00","error","0.0"
"42.0","5466.0","2059.0","Moishe Lettvin 1","Dear lord.","2000-10-18 11:31:40+00:00","2000-10-18 11:31:40+00:00","neutral","0.5"
"45.0","471.0","2625.0","Eli Totz","I never tasted it but it sure doesn''t look easy.  Toast is easy.","2000-10-18 11:35:01+00:00","2000-10-18 11:35:01+00:00","positive","0.9"
"59.0","7205.0","2178.0","troyh","I think I cooked the chicken too long so the breadcrumb mixture became a little too crispy. Be careful. I'd also increase the ratio of seasonings to chicken as I used a little less than was specified and had just enough mixture to cover the chicken.","2000-10-06 12:20:48+00:00","2000-10-06 12:20:48+00:00","positive","0.9"
"66.0","3862.0","2312.0","Gay Gilmore","I added curry powder to jazz them up.","2000-10-18 11:33:20+00:00","2000-10-18 11:33:20+00:00","positive","0.95"
"76.0","100.0","2369.0","William Hakala","It is a good recipe...but I believe that it would be better if it had raisins included  :)","2000-10-20 14:04:14+00:00","2000-10-20 14:04:14+00:00","positive","0.9"
"83.0","3704.0","2178.0","troyh","Careful not to cook it too long... you want the tuna to be closer to raw on the inside and crusty on the outside. Maybe use canola oil instead of butter to help sear the outside.","2000-10-30 11:12:23+00:00","2000-10-30 11:12:23+00:00","positive","0.9"
"84.0","153.0","3114.0","Susan Scannapieco","Took about 70 minutes to bake.","2000-10-30 11:13:29+00:00","2000-10-30 11:13:29+00:00","positive","0.95"
"85.0","3560.0","2211.0","Bertie","These have been an absolute hit with everyone every time I have made them.  They are incredibly easy to make and just heavenly!","2000-12-08 10:23:30+00:00","2000-12-08 10:23:30+00:00","positive","0.95"
"87.0","8445.0","3090.0","pyppylover25","I think this recipie is awesome. It tastes delicious and my whole family loved it.","2000-10-30 11:18:58+00:00","2000-10-30 11:18:58+00:00","negative","0.8"
"90.0","8497.0","2926.0","izabel72","quite easy to make make the taste is not bad either. i'd love to make it again and again with different toppings.","2000-11-04 09:05:44+00:00","2000-11-04 09:05:44+00:00","negative","0.8"
"92.0","1600.0","2447.0","C.L. Miller","These make a wonderful healthy snack.","2000-11-04 09:06:47+00:00","2000-11-04 09:06:47+00:00","positive","0.9"
"95.0","468.0","3125.0","Preeti De","It's a tasty dish.","2000-11-04 09:10:24+00:00","2000-11-04 09:10:24+00:00","positive","0.9"
"101.0","288.0","3228.0","Christine Fisher","tasty. you can substitute granulated sugar for the palm sugar.","2000-11-08 12:40:46+00:00","2000-11-08 12:40:46+00:00","positive","0.9"
"109.0","2505.0","3287.0","Amy Hayes","Terrible directions. Doesn't say how to make the dough or the filling.","2000-11-12 00:13:31+00:00","2000-11-12 00:13:31+00:00","positive","0.9"
"111.0","480.0","3074.0","dave moore","needs more spice.","2000-11-12 14:25:08+00:00","2000-11-12 14:25:08+00:00","negative","0.8"
"114.0","2521.0","3339.0","chalet hull","My husband LOVES this stuff.  It was the only thing he requested I make for Thanksgiving. The recipe is easy and if it makes him happy I'll keep making it.","2000-11-14 18:04:23+00:00","2000-11-14 18:04:23+00:00","positive","0.9"
"115.0","7695.0","3333.0","Mike Gray","Not much Effort.","2000-11-14 18:04:54+00:00","2000-11-14 18:04:54+00:00","positive","0.9"
